,index,artists,track_name,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
16,38,brandi carlile,this time tomorrow,False,0.606,0.326,10,-10.031,0.0294,0.841,0.0,0.139,0.414,91.626
17,40,eddie vedder,the haves,False,0.474,0.519,7,-5.291,0.0253,0.281,0.0,0.107,0.326,151.832
18,41,brandi carlile,when you're wrong,False,0.568,0.301,10,-10.163,0.0373,0.796,3.37e-06,0.118,0.142,88.029
19,44,brandi carlile,"speak your mind (from the netflix series ""we the people"")",False,0.476,0.666,6,-3.438,0.0446,0.314,0.0,0.342,0.498,148.155
20,50,highland peak,trampoline - acoustic,False,0.596,0.2,0,-10.424,0.0305,0.91,0.000183,0.0884,0.308,107.893
21,52,andrew belle,pieces,False,0.494,0.652,6,-5.863,0.0314,0.0754,0.00256,0.125,0.298,137.018
22,53,ron pope,a drop in the ocean,False,0.447,0.393,5,-8.65,0.038,0.785,0.0,0.28,0.564,73.139
23,54,adam christopher,so far away - acoustic,False,0.576,0.331,6,-9.389,0.0306,0.894,3.44e-05,0.129,0.407,149.02
24,55,andrew belle,the enemy,False,0.536,0.89,1,-5.222,0.0375,0.078,0.0202,0.131,0.273,121.974
25,56,aron wright,build it better,False,0.526,0.333,4,-13.02,0.0314,0.91,0.168,0.111,0.159,94.951
26,57,chord overstreet,sleepwalking in the rain,False,0.501,0.381,0,-9.448,0.036,0.687,0.00133,0.119,0.502,80.075
27,58,sara bareilles,gravity,False,0.27,0.275,0,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964
28,59,chord overstreet,what's left of you,True,0.731,0.507,0,-6.477,0.046,0.572,0.0,0.0912,0.265,117.969
29,60,zack tabudlo,pano,False,0.375,0.457,3,-7.018,0.0315,0.868,0.0145,0.191,0.415,174.839
30,61,andrew belle,sky's still blue,False,0.43,0.791,6,-5.419,0.0302,0.0726,0.0193,0.11,0.217,171.864
31,62,kurt cobain,and i love her,False,0.616,0.282,1,-15.317,0.0331,0.983,0.833,0.13,0.435,96.638
32,65,canyon city,alone with you,False,0.549,0.274,1,-12.565,0.0379,0.798,6.63e-06,0.103,0.207,86.664
33,66,aaron espe,making all things new,False,0.787,0.355,0,-11.429,0.0288,0.896,0.0201,0.111,0.48,99.978
34,67,sara bareilles,she used to be mine,False,0.397,0.303,5,-7.508,0.0435,0.381,0.0,0.101,0.172,81.05
35,69,tyler ward,i don't wanna live forever (fifty shades darker),False,0.787,0.403,0,-11.989,0.033,0.603,0.00857,0.131,0.264,118.042
36,70,ron pope,a drop in the ocean,False,0.484,0.573,5,-6.183,0.0298,0.0882,1.14e-06,0.15,0.346,139.966
37,71,five for fighting,superman (it's not easy),False,0.382,0.416,0,-9.303,0.0302,0.0733,0.0,0.0719,0.125,102.089
38,72,andrew belle,when the end comes,False,0.541,0.575,9,-9.463,0.0491,0.677,0.215,0.102,0.428,91.98
39,73,bailey jehl,you're still the one,False,0.607,0.473,2,-8.555,0.034,0.712,0.0,0.66,0.54,119.698
40,74,ingrid michaelson,light me up,False,0.417,0.595,6,-7.84,0.0396,0.158,0.000269,0.101,0.117,147.928
41,78,drew holcomb & the neighbors,what would i do without you,False,0.602,0.336,8,-11.106,0.0369,0.883,0.0017,0.143,0.335,90.894
42,79,jason mraz,have it all,False,0.643,0.638,1,-4.947,0.0407,0.204,0.0,0.0707,0.6,82.001
43,81,gabrielle aplin,the house we never built,False,0.546,0.391,2,-10.786,0.063,0.784,2.72e-06,0.0552,0.202,139.669
44,82,eddie vedder,society,False,0.561,0.327,11,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858
45,83,gabrielle aplin,please don't say you love me,False,0.479,0.541,0,-9.862,0.0543,0.74,0.0,0.108,0.3,85.994
46,86,sara bareilles,brave,False,0.551,0.836,10,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063
47,89,five for fighting,heaven knows,False,0.6,0.845,10,-7.076,0.0311,0.048,0.0,0.24,0.392,97.631
48,90,the civil wars,i heard the bells on christmas day,False,0.492,0.145,2,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
49,92,kt tunstall,fairytale of new york,False,0.447,0.555,2,-6.018,0.0349,0.218,3.46e-06,0.124,0.33,117.888
50,99,kt tunstall,suddenly i see,False,0.603,0.78,0,-5.531,0.0438,0.139,0.0,0.164,0.693,100.499
51,100,motohiro hata,rain,False,0.626,0.655,9,-6.69,0.0263,0.503,0.0,0.13,0.542,92.003
52,102,andrew belle,pieces (hushed),False,0.52,0.279,5,-10.739,0.0547,0.894,0.000105,0.103,0.0951,69.642
53,104,boyce avenue,stand by me,False,0.728,0.266,8,-7.322,0.0293,0.872,1.03e-05,0.114,0.307,115.189
54,109,tyler ward,how to lose a girl,False,0.7,0.454,7,-10.39,0.0388,0.55,0.0022,0.121,0.34,80.011
55,111,andrew belle,dive deep (hushed),False,0.507,0.378,9,-9.019,0.0332,0.852,0.000212,0.0937,0.085,135.86
56,112,ben woodward,when the party's over (acoustic piano),False,0.619,0.226,4,-13.453,0.0641,0.959,4.42e-05,0.106,0.188,124.96
57,114,matthew perryman jones,living in the shadows,False,0.418,0.79,4,-6.599,0.0506,0.0284,9.96e-06,0.117,0.197,175.975
58,117,kina grannis,you are my sunshine,False,0.664,0.0755,10,-19.836,0.0389,0.91,0.0,0.164,0.575,80.004
59,120,meg birch,only love can hurt like this,False,0.534,0.213,1,-8.64,0.0283,0.884,0.0,0.107,0.0998,98.385
60,121,catherine feeny,mr blue,False,0.456,0.386,10,-10.293,0.032,0.835,0.108,0.389,0.612,165.733
61,123,ross copperman,holding on and letting go,False,0.502,0.53,2,-9.573,0.0266,0.805,0.000738,0.0728,0.102,78.046
62,124,jj heller,you already know,False,0.496,0.117,0,-12.884,0.0301,0.933,0.0,0.126,0.318,78.068
63,125,ben woodward,believer (remix),False,0.585,0.724,1,-6.513,0.0745,0.315,0.0681,0.0448,0.333,187.484
64,126,howie day,collide - acoustic version,False,0.582,0.253,10,-11.43,0.0259,0.827,2.95e-05,0.091,0.294,90.186
65,127,ben rector,love like this,False,0.637,0.14,2,-11.472,0.0407,0.903,0.0,0.107,0.392,139.78
66,129,rachael yamagata,"""something in the rain"" (something in the rain, pt. 1) [music from the original tv series]",False,0.422,0.272,4,-10.772,0.0353,0.496,1.07e-05,0.0704,0.113,143.413
67,130,parachute,kiss me slowly,False,0.47,0.801,9,-6.426,0.0352,0.0758,3.53e-05,0.218,0.431,173.92
68,131,parachute,without you,False,0.564,0.864,4,-5.121,0.0341,0.0761,0.0,0.182,0.534,95.984
69,132,jason mraz,absolutely zero,False,0.521,0.495,5,-7.756,0.027,0.128,0.0,0.296,0.116,135.061
70,133,jason mraz,sleep all day,False,0.616,0.81,2,-6.51,0.0668,0.369,0.0,0.107,0.79,97.994
71,134,jason mraz,you and i both,False,0.615,0.812,7,-6.573,0.0458,0.184,0.0,0.328,0.74,98.954
72,135,eddie vedder,long nights,False,0.478,0.305,5,-13.062,0.0306,0.675,0.00139,0.169,0.0974,108.66
73,138,jason mraz,who needs shelter,False,0.514,0.569,6,-7.866,0.03,0.601,2.21e-06,0.218,0.264,142.597
74,139,jason mraz,no stopping us,False,0.646,0.836,1,-6.203,0.0327,0.301,3.23e-05,0.29,0.727,105.991
75,140,jason mraz,i'll do anything,False,0.57,0.711,9,-4.155,0.0703,0.119,0.0,0.352,0.648,163.117
76,141,jj heller,make you feel my love,False,0.678,0.199,9,-9.785,0.0307,0.957,3.23e-06,0.0968,0.262,72.006
77,142,jason mraz,the remedy (i won't worry),False,0.589,0.867,10,-4.523,0.0385,0.041,0.0,0.306,0.795,94.52
78,143,jason mraz,too much food,False,0.626,0.926,2,-4.441,0.0477,0.0265,0.0,0.159,0.548,99.997
79,144,jason mraz,the boy's gone,False,0.686,0.556,1,-8.5,0.0271,0.532,0.0,0.0922,0.36,112.997
80,145,jason mraz,"on love, in sadness",False,0.56,0.832,9,-5.595,0.0352,0.108,0.0,0.232,0.802,100.957
81,147,jason mraz,"tonight, not again - live",False,0.56,0.278,3,-12.501,0.0921,0.733,0.0,0.112,0.594,102.187
82,148,jason mraz,"tonight, not again",False,0.595,0.805,8,-7.926,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44
83,149,eddie vedder,hard sun,False,0.438,0.827,8,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377
84,152,howie day,collide,False,0.636,0.625,11,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931
85,154,kitri,sympathy,False,0.69,0.423,2,-9.194,0.0294,0.883,0.0123,0.111,0.59,130.121
86,156,chord overstreet,what you need,False,0.519,0.264,0,-11.171,0.0601,0.918,0.000253,0.237,0.192,140.354
87,157,five for fighting,100 years,False,0.643,0.569,7,-7.459,0.0276,0.544,2.17e-05,0.178,0.275,120.507
88,158,andrew belle,you're the sea,False,0.573,0.624,1,-9.076,0.0324,0.471,0.117,0.114,0.529,161.025
89,159,rachael yamagata,no direction,False,0.654,0.821,7,-5.472,0.0264,0.00666,0.00299,0.228,0.613,111.958
90,160,cary brothers,belong,False,0.426,0.399,0,-8.447,0.034,0.761,0.00112,0.118,0.217,115.979
91,161,the mayries,as it was,False,0.505,0.21,11,-11.349,0.0295,0.907,0.0,0.11,0.323,80.721
92,165,parachute,had it all,False,0.606,0.54,7,-6.271,0.0339,0.182,0.000144,0.144,0.249,79.952
93,167,tobey rosen,whole again - acoustic version,False,0.736,0.145,11,-9.215,0.0336,0.855,0.0,0.108,0.235,129.832
94,168,the mayries,overpass graffiti,False,0.479,0.126,1,-13.974,0.0303,0.966,0.0,0.113,0.279,96.327
95,169,sara bareilles,love song,False,0.583,0.786,2,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055
96,174,amy stroup,in the shadows,False,0.434,0.469,0,-7.849,0.0265,0.52,0.000328,0.108,0.0568,136.282
97,176,brandi carlile,the story,False,0.544,0.5,11,-8.253,0.026,0.0325,3.78e-06,0.109,0.177,93.621
98,177,jj heller,better,False,0.662,0.187,2,-9.003,0.0268,0.969,0.000273,0.0922,0.233,104.988
99,178,kina grannis,iris,False,0.497,0.13,6,-15.571,0.0436,0.841,0.0,0.111,0.179,130.769
100,179,the mayries,rockabye - acoustic version,False,0.528,0.291,10,-9.696,0.0401,0.914,0.0,0.121,0.355,76.805
101,181,boyce avenue,beautiful soul,False,0.483,0.506,9,-6.058,0.0347,0.394,0.0,0.0946,0.705,87.337
102,182,jason mraz,let's see what the night can do,False,0.392,0.423,7,-7.813,0.0348,0.27,0.0,0.117,0.288,113.537
103,183,rachael yamagata,"la la la (something in the rain, pt. 2) [music from the original tv series]",False,0.42,0.2,7,-18.827,0.0492,0.929,0.49,0.0758,0.164,87.248
104,184,parachute,forever and always,False,0.657,0.716,2,-5.675,0.0301,0.014,0.0,0.0483,0.435,93.924
105,185,priscilla ahn,fine on the outside,False,0.495,0.185,9,-13.824,0.0288,0.692,0.00403,0.109,0.196,101.89
106,186,chord overstreet,tortured soul,False,0.55,0.499,4,-9.502,0.0338,0.472,2.26e-06,0.0798,0.144,86.966
107,187,jj heller,i believe in you,False,0.534,0.359,0,-9.311,0.0296,0.449,1.2e-05,0.331,0.267,131.804
108,188,jon bryant,at home,False,0.378,0.52,11,-10.965,0.0382,0.777,0.0888,0.0979,0.357,73.744
109,189,donovan woods,"portland, maine",False,0.606,0.349,4,-13.967,0.0319,0.764,0.306,0.112,0.156,80.071
110,190,ross copperman,holding on and letting go,False,0.486,0.555,2,-9.466,0.0271,0.818,0.00269,0.109,0.0992,77.987
111,191,joshua hyslop,the flood,False,0.577,0.446,6,-11.343,0.0313,0.554,0.0782,0.116,0.262,81.005
112,193,stephen speaks,out of my league,False,0.538,0.315,0,-10.057,0.0291,0.96,0.00596,0.0979,0.4,91.921
113,195,eddie vedder,rise,False,0.401,0.58,7,-6.86,0.0541,0.906,0.217,0.134,0.526,173.277
114,197,freddie king,stumble,False,0.678,0.612,4,-9.764,0.0339,0.1,0.316,0.164,0.857,118.381
115,201,thomas daniel,since u been gone - acoustic version,False,0.538,0.162,5,-13.31,0.0299,0.847,0.0,0.114,0.366,94.981
116,202,masayoshi yamazaki,"one more time,one more chance",False,0.519,0.429,11,-7.707,0.0317,0.658,0.0,0.111,0.396,129.491
117,203,kina grannis,creep,False,0.585,0.103,7,-12.682,0.0309,0.801,0.0,0.126,0.179,133.057
118,206,canyon city,how long will i love you,False,0.382,0.157,1,-16.157,0.0361,0.878,0.000473,0.112,0.224,136.11
119,207,zack tabudlo,binibini,False,0.642,0.374,5,-10.606,0.032,0.423,1.54e-06,0.435,0.0979,129.863
120,208,aron wright,you were supposed to be different,False,0.436,0.239,7,-12.83,0.0282,0.861,8.48e-05,0.0902,0.137,73.761
121,209,boyce avenue,thinking out loud,False,0.702,0.326,1,-6.638,0.0272,0.705,0.0,0.168,0.628,79.904
122,210,jonah baker,perfect / style,False,0.593,0.292,11,-12.755,0.0364,0.828,0.0,0.174,0.375,111.121
123,213,ingrid michaelson,you and i,False,0.698,0.285,0,-7.632,0.0553,0.927,0.0,0.0883,0.53,135.027
124,216,anna nalick,breathe (2 am),False,0.386,0.452,2,-7.715,0.0278,0.417,0.0,0.0881,0.287,169.837
125,219,ben woodward,bulletproof,False,0.59,0.552,7,-10.496,0.0407,0.654,0.000359,0.128,0.635,155.101
126,220,andrew belle,spectrum,False,0.539,0.717,3,-7.385,0.031,0.000298,0.111,0.125,0.212,117.973
127,221,jonah baker,girls like you - acoustic version,False,0.543,0.138,0,-14.331,0.0531,0.791,0.0,0.185,0.3,115.65
128,223,us the duo,better together,False,0.761,0.311,5,-10.597,0.0692,0.647,0.0,0.15,0.553,109.891
129,229,ray lamontagne,empty,False,0.482,0.381,2,-13.93,0.0311,0.455,0.00295,0.114,0.42,81.712
130,230,megan davies,"see you again, love me like you do, sugar - acoustic mashup",False,0.393,0.207,10,-11.865,0.0392,0.877,0.0,0.104,0.262,163.99
131,231,tim halperin,the reason,False,0.423,0.207,7,-8.811,0.0289,0.887,0.0,0.0948,0.209,149.664
132,232,canyon city,fix you,False,0.522,0.152,2,-14.996,0.0303,0.788,2.37e-05,0.148,0.133,144.055
133,233,jj heller,hand to hold,False,0.547,0.313,0,-7.982,0.0315,0.612,7.97e-06,0.111,0.261,133.737
134,234,ray lamontagne,hold you in my arms,False,0.504,0.321,7,-13.807,0.0316,0.149,0.000107,0.147,0.577,170.134
135,237,joshua hyslop,the spark - bonus track,False,0.596,0.429,3,-10.16,0.0377,0.775,0.0107,0.0962,0.229,148.086
136,238,drew holcomb & the neighbors,american beauty,False,0.645,0.169,9,-15.744,0.0317,0.844,0.00019,0.109,0.178,167.826
137,239,ray lamontagne,such a simple thing,False,0.522,0.256,10,-11.216,0.0258,0.86,0.000806,0.142,0.13,76.349
138,241,boyce avenue,someone you loved,False,0.736,0.364,1,-5.966,0.0349,0.741,0.0,0.0932,0.371,110.023
139,243,days n daze,flurry rush,True,0.371,0.674,9,-3.72,0.0488,0.169,0.0,0.0889,0.92,87.603
140,244,sara bareilles,i choose you,False,0.731,0.572,6,-7.889,0.0445,0.105,0.00012,0.133,0.947,154.038
141,246,dave barnes,i'll be home for christmas,False,0.594,0.307,10,-13.062,0.0249,0.796,0.0414,0.15,0.24,94.026
142,247,get dead,fuck you,True,0.608,0.917,11,-5.341,0.0601,0.236,0.0,0.13,0.936,117.875
143,248,albert king,christmas comes but once a year,False,0.687,0.494,1,-9.421,0.0505,0.324,5.5e-05,0.0867,0.621,93.269
144,250,john adams,if i ain't got you - acoustic,False,0.652,0.15,5,-12.699,0.0363,0.923,0.0,0.102,0.361,104.018
145,251,john adams,believe - acoustic,False,0.765,0.241,4,-8.865,0.0373,0.873,0.0,0.111,0.182,123.95
146,252,adam christopher,iris - acoustic,False,0.589,0.249,2,-10.086,0.0329,0.717,0.0,0.106,0.363,150.096
147,255,jonah baker,baby (acoustic version),False,0.655,0.147,8,-14.409,0.0371,0.88,0.0,0.266,0.328,116.103
148,256,yuzu,reason,False,0.363,0.819,7,-3.128,0.0634,0.0591,0.0,0.0988,0.468,122.527
149,258,zack tabudlo,asan ka na ba,False,0.676,0.768,5,-5.695,0.0294,0.149,0.00147,0.345,0.493,105.999
150,259,boyce avenue,a thousand years,False,0.41,0.221,5,-11.673,0.0315,0.768,0.0,0.106,0.228,139.529
151,260,thomas daniel,drivers license,False,0.439,0.217,2,-13.166,0.0413,0.933,0.0,0.126,0.373,144.413
152,261,jason mraz,love someone,False,0.582,0.347,7,-14.769,0.0305,0.317,0.00678,0.111,0.0797,97.957
153,262,jae hall,the winner takes it all - acoustic,False,0.426,0.127,6,-13.287,0.0648,0.863,4.3e-06,0.0993,0.149,62.535
154,263,aaron espe,only time,False,0.696,0.261,9,-12.107,0.0361,0.737,1.24e-05,0.11,0.361,136.053
155,264,a fine frenzy,almost lover,False,0.549,0.24,0,-7.778,0.0338,0.947,0.0,0.106,0.167,119.58
156,265,roses & frey,dance monkey,False,0.541,0.192,0,-13.995,0.0282,0.893,0.0,0.193,0.317,139.938
157,266,parachute,ocean,False,0.662,0.711,5,-4.924,0.0279,0.0686,1.17e-05,0.085,0.352,119.989
158,267,kina grannis,dream a little dream of me,False,0.665,0.185,1,-13.852,0.0381,0.913,0.0,0.334,0.458,82.474
159,268,the mayries,back for good,False,0.591,0.175,6,-12.959,0.038,0.927,0.0,0.133,0.352,139.902
160,269,canyon city,ok,False,0.489,0.183,0,-14.769,0.033,0.907,3.95e-05,0.106,0.486,79.961
161,271,boyce avenue,hey there delilah,False,0.664,0.319,0,-8.149,0.0271,0.862,0.0,0.121,0.258,105.036
162,273,kina grannis,yellow,False,0.623,0.132,0,-13.668,0.035,0.893,0.0,0.217,0.266,82.105
163,274,roses & frey,wake me up,False,0.494,0.214,7,-11.041,0.0363,0.92,1.07e-05,0.107,0.35,125.981
164,275,aidan hawken,walking blind,False,0.374,0.183,9,-13.225,0.0281,0.897,0.0387,0.109,0.134,82.042
165,277,the rescues,teenage dream,False,0.642,0.408,10,-8.168,0.0396,0.729,0.0,0.185,0.411,119.81
166,278,ivan & alyosha,the worth of the wait,False,0.48,0.618,2,-7.335,0.0501,0.844,8.93e-05,0.325,0.344,82.051
167,280,austin plaine,never come back again,False,0.594,0.695,8,-8.872,0.0259,0.19,3.58e-06,0.119,0.172,104.977
168,281,chord overstreet,love you to death,False,0.574,0.344,4,-8.995,0.0345,0.421,0.0,0.0804,0.0987,147.924
169,282,plamina,someone you loved - acoustic,False,0.647,0.298,3,-7.91,0.0311,0.861,0.0,0.12,0.31,106.244
170,285,joshua hyslop,long way down,False,0.711,0.231,2,-13.033,0.0346,0.832,0.00115,0.105,0.186,125.062
171,286,parachute,she is love,False,0.629,0.174,6,-9.697,0.141,0.616,0.0,0.118,0.305,134.295
172,288,krissy & ericka,12:51,False,0.503,0.357,3,-9.36,0.0272,0.727,0.0,0.128,0.438,136.135
173,291,ben rector,brand new,False,0.555,0.934,9,-5.04,0.113,0.00268,0.0,0.122,0.422,144.874
174,293,ben rector,"30,000 feet",False,0.555,0.452,0,-9.636,0.0554,0.694,0.0,0.0595,0.321,179.921
175,295,ray lamontagne,jolene,False,0.588,0.142,7,-15.196,0.0329,0.863,0.000162,0.0953,0.288,119.656
176,297,joy williams,front porch,False,0.567,0.224,1,-10.024,0.0299,0.887,0.0,0.109,0.2,124.44
177,299,ray lamontagne,three more days,False,0.555,0.68,10,-8.358,0.0323,0.126,0.000906,0.0506,0.903,84.518
178,300,callum j wright,isn't she lovely - acoustic,False,0.69,0.306,9,-9.193,0.0356,0.805,0.0,0.0968,0.424,115.671
179,301,rachael yamagata,we could still be happy,False,0.513,0.317,10,-17.036,0.0363,0.365,0.003,0.118,0.177,84.853
180,302,john adams,fix you - acoustic,False,0.494,0.152,3,-9.843,0.0313,0.947,0.0,0.123,0.304,134.178
181,306,aron wright,i don't believe in satan,False,0.422,0.41,6,-14.151,0.0467,0.00855,0.0,0.104,0.354,83.952
182,307,the perishers,pills,False,0.543,0.288,0,-8.608,0.0258,0.667,0.0,0.113,0.293,95.435
183,312,ben woodward,call you mine (acoustic piano),False,0.733,0.297,5,-14.452,0.0359,0.935,2.75e-06,0.108,0.766,103.953
184,313,kina grannis,for now,False,0.394,0.249,5,-10.484,0.0396,0.927,0.0,0.115,0.329,79.549
185,314,greg laswell,sweet dream,False,0.41,0.234,1,-15.236,0.0421,0.798,0.00304,0.108,0.19,93.72
186,316,ross copperman,stars are on your side,False,0.255,0.625,0,-8.31,0.0323,0.63,0.000211,0.0976,0.191,84.611
187,318,joe brooks,superman,False,0.464,0.653,6,-7.514,0.101,0.199,0.0,0.0979,0.416,162.196
188,319,boyce avenue,chasing cars,False,0.659,0.331,10,-8.987,0.0321,0.809,0.0,0.0996,0.0877,105.01
189,320,zack tabudlo,calm me down,False,0.592,0.49,10,-8.508,0.0263,0.395,0.0,0.333,0.437,99.994
190,323,ciaran lavery,left for america,False,0.498,0.384,4,-10.752,0.0976,0.818,0.000937,0.13,0.25,79.856
191,324,john frusciante,ramparts,False,0.386,0.428,10,-9.949,0.0295,0.951,0.882,0.162,0.73,172.311
192,325,chord overstreet,hold on - acoustic,False,0.702,0.259,2,-9.73,0.0403,0.878,5.34e-06,0.108,0.246,120.102
193,326,the civil wars,dust to dust,False,0.747,0.265,1,-14.141,0.0354,0.745,0.0169,0.11,0.2,138.017
194,327,masaharu fukuyama,good night,False,0.522,0.498,7,-7.247,0.0257,0.0758,1.51e-06,0.25,0.221,145.908
195,328,zack tabudlo,as you are,False,0.715,0.438,10,-6.147,0.0373,0.353,1.75e-06,0.108,0.447,81.07
196,330,sara farell,it aint me,False,0.354,0.415,9,-6.578,0.0289,0.797,0.0,0.107,0.421,175.537
197,334,andrew belle,make it without you,False,0.456,0.205,1,-8.437,0.0313,0.92,0.00011,0.149,0.161,117.663
198,335,priscilla ahn,dream,False,0.512,0.248,2,-10.359,0.0275,0.75,2.96e-05,0.114,0.158,109.692
199,336,jj heller,"big love, small moments",False,0.582,0.282,0,-9.229,0.0316,0.793,2.01e-06,0.0744,0.278,118.019
200,337,priscilla ahn,i am not alone,False,0.568,0.18,7,-11.707,0.0284,0.758,6.17e-05,0.111,0.228,112.033
201,338,joshua hyslop,stand your ground,False,0.71,0.271,7,-9.541,0.0283,0.658,4.59e-06,0.115,0.686,131.88
202,339,front porch step,perfect man,False,0.574,0.704,0,-4.65,0.0318,0.0931,0.000281,0.136,0.338,117.086
203,341,eric hutchinson,tell the world,False,0.669,0.854,4,-5.899,0.0431,0.0653,0.0,0.288,0.706,120.035
204,342,brett dennen,ain't no reason,False,0.615,0.358,5,-9.694,0.0552,0.705,0.0,0.113,0.432,146.06
205,343,rail yard ghosts,a month from now,False,0.415,0.619,2,-7.624,0.123,0.946,2.75e-05,0.799,0.739,77.009
206,344,five for fighting,what if,False,0.565,0.895,0,-5.354,0.04,0.194,0.0,0.101,0.592,149.919
207,345,the bridge city sinners,pussy cat,False,0.586,0.702,0,-4.418,0.132,0.59,0.0,0.146,0.644,177.598
208,346,frank turner,polaroid picture,False,0.564,0.604,7,-5.055,0.0549,0.0287,4.74e-06,0.108,0.341,113.091
209,347,matt costa,i bet on flying high,False,0.543,0.359,8,-6.571,0.0302,0.651,0.0,0.0981,0.346,109.735
210,350,jonah baker,mirrors - acoustic,False,0.638,0.287,8,-11.174,0.0412,0.81,0.0,0.0804,0.445,128.025
211,352,jonah baker,stay - acoustic,False,0.622,0.221,9,-14.335,0.0583,0.901,0.0,0.107,0.297,131.827
212,354,kina grannis,oh what a love,False,0.457,0.064,6,-19.928,0.0339,0.941,0.108,0.107,0.0647,147.824
213,355,meiko,leave the lights on,False,0.649,0.821,1,-6.483,0.0313,0.0302,0.000141,0.0843,0.661,121.938
214,357,jason mraz,look for the good (single version),False,0.71,0.615,0,-8.23,0.133,0.0384,0.0,0.283,0.746,90.263
215,360,rachael yamagata,is it you,False,0.66,0.743,9,-8.302,0.0506,0.0329,0.00136,0.098,0.445,130.025
216,361,us the duo,slow down time,False,0.733,0.657,2,-6.843,0.0272,0.013,6.73e-05,0.317,0.433,109.954
217,362,amber leigh irish,2002 - acoustic,False,0.589,0.296,0,-9.335,0.083,0.842,0.0,0.0736,0.611,165.799
218,363,jess penner,sweeter,False,0.686,0.377,9,-9.59,0.0589,0.638,0.0,0.128,0.551,92.042
219,364,daniel robinson,heat waves - acoustic,False,0.659,0.338,6,-10.367,0.0376,0.842,0.0,0.277,0.495,145.877
220,367,greg laswell,comes and goes (in waves),False,0.565,0.698,0,-8.596,0.0295,0.54,0.0183,0.124,0.155,120.013
221,369,blame jones,dusk till dawn - acoustic,False,0.543,0.244,0,-8.062,0.0511,0.864,0.0,0.112,0.29,126.341
222,370,ben woodward,don't wanna leave you,False,0.672,0.644,11,-9.063,0.236,0.795,0.0,0.146,0.549,148.135
223,372,matt white,love,False,0.759,0.684,0,-5.751,0.0315,0.269,0.0,0.13,0.759,107.948
224,373,boyce avenue,hallelujah,False,0.62,0.21,11,-9.633,0.0274,0.911,2.22e-06,0.108,0.163,98.558
225,374,madi diaz,ashes,False,0.497,0.254,8,-11.716,0.0341,0.891,0.0441,0.122,0.0676,110.864
226,376,boyce avenue,love me like you do,False,0.45,0.254,4,-9.873,0.0414,0.827,0.0,0.204,0.248,92.644
227,378,tristan prettyman,who we are,False,0.521,0.507,7,-7.007,0.0319,0.0162,4.43e-05,0.148,0.153,108.168
228,379,masaharu fukuyama,heart (original version),False,0.587,0.842,4,-6.04,0.0268,0.278,0.0,0.163,0.693,97.013
229,380,jj heller,it'll be alright,False,0.543,0.324,0,-11.258,0.0316,0.452,2.81e-05,0.412,0.181,139.883
